2026-08-10 13:57:56,538 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-08-10 13:57:56,540 | INFO | apscheduler.scheduler | Added job "MonitoringService.run_cycle" to job store "default"
2026-08-10 13:57:56,540 | INFO | apscheduler.scheduler | Scheduler started
2026-08-10 13:57:56,541 | INFO | app.services.monitoring_service | monitoring_cycle_started
2026-08-10 13:57:57,466 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za "HTTP/1.1 200 OK"
2026-08-10 13:57:57,475 | INFO | app.scrapers.winning_form_scraper | fetch_index_frames=['https://legacy.winningform.co.za/guide.htm', 'https://legacy.winningform.co.za/cover.htm']
2026-08-10 13:57:57,570 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za "HTTP/1.1 200 OK"
2026-08-10 13:57:57,753 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/guide.htm "HTTP/1.1 200 OK"
2026-08-10 13:57:57,890 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/cover.htm "HTTP/1.1 200 OK"
2026-08-10 13:57:57,993 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za "HTTP/1.1 200 OK"
2026-08-10 13:57:58,104 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/guide.htm "HTTP/1.1 200 OK"
2026-08-10 13:57:58,283 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/cover.htm "HTTP/1.1 200 OK"
2026-08-10 13:57:58,306 | INFO | app.scrapers.winning_form_scraper | race_links_total=24
2026-08-10 13:57:58,308 | INFO | app.scrapers.winning_form_scraper | meetings_seen=['gau-p260810', 'gau-r260813', 'wcp-k260812']
2026-08-10 13:57:58,455 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2P260810_1.htm "HTTP/1.1 200 OK"
2026-08-10 13:57:58,668 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=10 stated=10
2026-08-10 13:57:58,668 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2P260810_1.htm venue=Fairview Polytrack date=2026-08-10 race=1 stated=10 parsed=9
2026-08-10 13:57:58,668 | INFO | app.scrapers.winning_form_scraper | horse_names=["Monkey's Wedding", 'Masterofthebaroque', 'Capranica', 'Dead Poets Society', 'Window To My Soul', 'Straight Red', 'Luca Da Wheels', 'Lyrics And Songs', 'Fleet Return', 'Island Jewel']
