INFO:     Started server process [28188]
INFO:     Waiting for application startup.
2026-08-02 23:48:43,247 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-08-02 23:48:43,252 | INFO | apscheduler.scheduler | Added job "MonitoringService.run_cycle" to job store "default"
2026-08-02 23:48:43,254 | INFO | apscheduler.scheduler | Scheduler started
2026-08-02 23:48:43,256 | INFO | app.services.monitoring_service | monitoring_cycle_started
2026-08-02 23:48:43,686 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za "HTTP/1.1 200 OK"
2026-08-02 23:48:43,697 | INFO | app.scrapers.winning_form_scraper | fetch_index_frames=['https://legacy.winningform.co.za/guide.htm', 'https://legacy.winningform.co.za/cover.htm']
2026-08-02 23:48:43,840 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za "HTTP/1.1 200 OK"
2026-08-02 23:48:43,900 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/guide.htm "HTTP/1.1 200 OK"
2026-08-02 23:48:43,970 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/cover.htm "HTTP/1.1 200 OK"
2026-08-02 23:48:44,021 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za "HTTP/1.1 200 OK"
2026-08-02 23:48:44,081 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/guide.htm "HTTP/1.1 200 OK"
2026-08-02 23:48:44,145 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/cover.htm "HTTP/1.1 200 OK"
2026-08-02 23:48:44,156 | INFO | app.scrapers.winning_form_scraper | race_links_total=24
2026-08-02 23:48:44,156 | INFO | app.scrapers.winning_form_scraper | meetings_seen=['gau-v260806', 'kzn-s260802', 'wcp-k260805']
2026-08-02 23:48:44,237 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/KZN/2S260802_1.htm "HTTP/1.1 200 OK"
2026-08-02 23:48:44,351 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10} extracted=13 stated=13
2026-08-02 23:48:44,351 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/KZN/2S260802_1.htm venue=Hollywoodbets Scottsville Outer date=2026-08-02 race=1 stated=13 parsed=13
2026-08-02 23:48:44,352 | INFO | app.scrapers.winning_form_scraper | horse_names=['Iceberg Rose', 'Forthegoodtimes', 'Tipperary', 'Pink Skies', 'Lovecomesknocking', 'Sweet Cherry', 'So Indi', 'Timeless Wonder', 'Bellanca Viking', 'Gezouten Haring', 'Linguistic', 'Princess Positano', 'Fleur Delacour']
2026-08-02 23:48:44,501 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/KZN/2S260802_2.htm "HTTP/1.1 200 OK"
