2026-08-06 08:29:13,899 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-08-06 08:29:13,900 | INFO | apscheduler.scheduler | Added job "MonitoringService.run_cycle" to job store "default"
2026-08-06 08:29:13,901 | INFO | apscheduler.scheduler | Scheduler started
2026-08-06 08:29:13,901 | INFO | app.services.monitoring_service | monitoring_cycle_started
2026-08-06 08:29:14,213 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za "HTTP/1.1 200 OK"
2026-08-06 08:29:14,227 | INFO | app.scrapers.winning_form_scraper | fetch_index_frames=['https://legacy.winningform.co.za/guide.htm', 'https://legacy.winningform.co.za/cover.htm']
2026-08-06 08:29:14,348 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za "HTTP/1.1 200 OK"
2026-08-06 08:29:14,457 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/guide.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:14,569 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/cover.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:14,674 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za "HTTP/1.1 200 OK"
2026-08-06 08:29:14,789 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/guide.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:14,902 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/cover.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:14,930 | INFO | app.scrapers.winning_form_scraper | race_links_total=41
2026-08-06 08:29:14,932 | INFO | app.scrapers.winning_form_scraper | meetings_seen=['ecp-f260807', 'gau-t260808', 'gau-v260806', 'kzn-d260807', 'kzn-s260809']
2026-08-06 08:29:15,063 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2V260806_1.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:15,115 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=6 stated=6
2026-08-06 08:29:15,116 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2V260806_1.htm venue=Vaal date=2026-08-06 race=1 stated=6 parsed=6
2026-08-06 08:29:15,116 | INFO | app.scrapers.winning_form_scraper | horse_names=['Battleground', 'Corrupt', 'Green Machine', 'Taxhaven', 'Samuel Sharpe', 'Bellerophon']
2026-08-06 08:29:15,265 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2V260806_2.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:15,323 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=7 stated=7
2026-08-06 08:29:15,323 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2V260806_2.htm venue=Vaal date=2026-08-06 race=2 stated=7 parsed=7
2026-08-06 08:29:15,323 | INFO | app.scrapers.winning_form_scraper | horse_names=['Jet Cat', 'Bell Of Angelus', 'Sergeant Soqrat', 'Oriental Bouquet', 'Champagne Problems', 'Phala Millions', 'Caladrius']
2026-08-06 08:29:15,475 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2V260806_3.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:15,513 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=7 stated=7
2026-08-06 08:29:15,514 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2V260806_3.htm venue=Vaal date=2026-08-06 race=3 stated=7 parsed=7
2026-08-06 08:29:15,514 | INFO | app.scrapers.winning_form_scraper | horse_names=['Wings Of Kildra', 'Ada Lovelace', 'Executrix', 'Magic Carpet Ride', 'Royal Horizon', 'Iconic Winter', 'Love Not War']
2026-08-06 08:29:15,697 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2V260806_4.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:15,783 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=7 stated=7
2026-08-06 08:29:15,783 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2V260806_4.htm venue=Vaal date=2026-08-06 race=4 stated=7 parsed=7
2026-08-06 08:29:15,783 | INFO | app.scrapers.winning_form_scraper | horse_names=['Winter Rainfall', 'Valieva', "She's All Mine", 'Jazz Pianist', 'Tempranillo', 'Versace Onthetrack', 'Slender Silhouette']
2026-08-06 08:29:15,932 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2V260806_5.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:15,977 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=11 stated=11
2026-08-06 08:29:15,978 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2V260806_5.htm venue=Vaal date=2026-08-06 race=5 stated=11 parsed=11
2026-08-06 08:29:15,978 | INFO | app.scrapers.winning_form_scraper | horse_names=['Wish You Were Here', 'Lannyboy', 'Smoking Gun', 'A Roman Twist', "God's Country", 'Cool Gambler', "Ain't No Sunshine", 'Willow Charm', 'Levitator', 'Forever Canford', 'Spirit Of The Sea']
2026-08-06 08:29:16,137 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2V260806_6.htm "HTTP/1.1 200 OK"
2026-08-06 08:29:16,195 | INFO | app.scrapers.winning_form_scraper | runner_table_used columns={'number': 0, 'name': 1, 'length_behind': 2, 'speed_index': 3, 'predicted_time': 4, 'merit': 5, 'weight': 6, 'draw': 7, 'jockey': 9, 'trainer': 10, 'previous_run': 12, 'time': 17} extracted=8 stated=8
2026-08-06 08:29:16,195 | INFO | app.scrapers.winning_form_scraper | race_parsed url=https://legacy.winningform.co.za/GAU/2V260806_6.htm venue=Vaal date=2026-08-06 race=6 stated=8 parsed=8
2026-08-06 08:29:16,196 | INFO | app.scrapers.winning_form_scraper | horse_names=['Korcula', 'Epidaurus', 'Twelfth Of Never', 'Comic Artist', 'Lanteri', 'Gus On The Bus', 'Evening News', 'Forever Red']
2026-08-06 08:29:16,365 | INFO | httpx | HTTP Request: GET https://legacy.winningform.co.za/GAU/2V260806_7.htm "HTTP/1.1 200 OK"
